"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058"
2009,"Santaluz","Bahia",22090,NA,21444,981.94,801.07,NA,NA,1422303.53,1422303.53,NA,1567104.61,468583.73,2000,NA,NA,0,0,0,0,0,0
2008,"Saubara","Bahia",20455,NA,11147,797.64,801.77,NA,NA,1264179.23,1264179.23,NA,1421407.25,285932.57,0,0,0,NA,NA,NA,NA,NA,NA
2011,"Serra Dourada","Bahia",11175,NA,5977,486.45,32.19,NA,NA,738736,738736,NA,779447,16139,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Tapiramutá","Bahia",12774,NA,12784,386.55,327.22,NA,NA,753449,753449,NA,828458,59042,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Várzea da Roça","Bahia",9481,NA,6356,387.1,1213.6,NA,NA,454943.39,454943.39,NA,444092.42,105230.39,0,0,0,NA,NA,NA,NA,NA,NA
2007,"Amarante do Maranhão","Maranhão",5868,NA,14247,440,178,NA,NA,222074,222074,NA,289745.73,103826,0,0,0,NA,NA,NA,NA,NA,NA
2011,"Buriti","Maranhão",4285,NA,8468,402.67,301.17,NA,NA,205738.66,205738.66,NA,240140.62,90973.95,0,0,0,0,0,0,0,0,0
2009,"Esperantinópolis","Maranhão",9450,NA,9568,942,735.96,NA,NA,514218.71,514218.71,NA,526894.23,279154.14,0,0,0,NA,NA,NA,NA,NA,NA
2008,"Morros","Maranhão",3247,NA,5472,381.97,389.54,NA,NA,117241.15,117241.15,NA,144121.04,132852.17,11310.2,0,16952.7,NA,NA,NA,NA,NA,NA
2011,"Palmeirândia","Maranhão",3241,NA,3483,433.08,166.47,NA,NA,253878.84,253878.84,NA,231656.84,49185.86,0,0,0,0,0,0,0,0,0
2007,"Pio XII","Maranhão",15359,NA,12372,1067,476,NA,NA,424982.08,424982.08,NA,458241.24,170549,0,0,0,NA,NA,NA,NA,NA,NA
2010,"Santa Quitéria do Maranhão","Maranhão",7504,NA,14141,980.5,284.71,NA,NA,319139.09,319139.09,NA,318923.51,41522.25,0,0,0,NA,NA,NA,NA,NA,NA
2009,"Santa Quitéria do Maranhão","Maranhão",7350,NA,13740,650,140.61,NA,NA,613589.07,613589.07,NA,298990.97,53334.94,0,0,0,NA,NA,NA,NA,NA,NA
2011,"São Domingos do Azeitão","Maranhão",2566,NA,4999,151.57,124.28,NA,NA,91196.31,91196.31,NA,9258.5,102036.33,0,0,0,0,0,0,0,0,0
