"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058","nat_jur"
2022,"Açailândia","MA",106550,1581,NA,9812.38,7972.2,50,6.19,21722026.95,21562380.28,159646.67,20828474.52,6381579.69,140741.07,0,170287.47,0,0,0,0,0,0,"Autarquia"
2021,"Açailândia","MA",122544,1581,85558,13546.61,5682.18,40,6.1,18750134.7,18565094.7,185040,16266432.68,6331659.99,222914.78,2e+05,463173.54,0,0,0,0,0,0,"Autarquia"
2014,"Água Doce do Maranhão","MA",12146,800,3286,3000,100,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2022,"Alto Parnaíba","MA",7075,5000,NA,1064.83,309.63,0,100,1314191.69,1314191.69,0,507175.25,195840.24,25649.18,0,31033.83,60000,50000,340000,60000,0,120000,"Administração pública direta"
2018,"Amapá do Maranhão","MA",2496,2496,5208,252,335,0,29,270000,60000,50000,245000,51700,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2016,"Amapá do Maranhão","MA",2434,2434,5152,250,200,0,25,220000,50000,40000,230000,41587.5,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2019,"Amapá do Maranhão","MA",2550,2550,5241,255,350,0,31,290000,65000,55000,252000,52000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2017,"Amapá do Maranhão","MA",2465,2465,5190,251,325,0,29,250000,55000,45000,238000,51587.5,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2012,"Arari","MA",18488,7488,17680,1000,194,0,940,725000,5e+05,225000,750000,35000,NA,NA,NA,0,0,0,0,0,0,"Autarquia"
2019,"Bacabal","MA",82996,4830,81702,4383.8,NA,0,NA,9699157.61,9500823.4,198334.21,10328630.38,2944341.17,117200,0,117200,0,0,0,0,0,0,"Autarquia"
2000,"Bacabal","MA",67357,3588,71408,5409.27,NA,NA,NA,1868717,1817170,51547,2514196,291012,316281,0,316281,NA,NA,NA,NA,NA,NA,"Autarquia"
2002,"Bacabal","MA",88788,3929,72528,5242.9,NA,0,NA,NA,2294873.16,81909.54,2621620.96,385667.18,379157.45,0,379157.45,NA,NA,NA,NA,NA,NA,"Autarquia"
2011,"Bacabal","MA",95576,7641,78328,6869,3634,333,25,5135242,5006164,129078,5303240,1433871,278494,0,278494,0,0,0,NA,NA,NA,"Autarquia"
2021,"Bacabal","MA",83502,4830,81815,4610,NA,0,NA,11929793.84,11581843.8,347950.04,9520687.74,5050661.77,0,0,0,0,0,0,0,0,0,"Autarquia"
2010,"Bacabal","MA",93281,7641,77860,6693,3229,422,24.5,4535467,4397709,137758,4683514,1403968,281330,0,281330,NA,NA,NA,NA,NA,NA,"Autarquia"
2020,"Bacabal","MA",83156,4830,81578,4563.8,NA,0,NA,10626493.18,10391017.81,235475.37,11496513.18,3090608.73,118203,0,118203,0,0,0,0,0,0,"Autarquia"
2022,"Bacabal","MA",83502,4830,NA,4815,NA,0,NA,11623092.11,11398618.48,224473.63,11364856.53,5312661.25,0,0,0,0,0,0,0,0,0,"Autarquia"
2004,"Bacabal","MA",92188,4548,74139,6188,2609,0,0,3110226,3052334,57892,2910883,556711,263340,0,263340,NA,NA,NA,NA,NA,NA,"Administração pública direta"
2015,"Bacabal","MA",95576,7641,79917,7245,4220,345,26,6438393.03,6274761.97,163631.06,7611225.86,1565482.44,232098.46,0,232098.46,0,0,0,0,0,0,"Autarquia"
2003,"Bacabal","MA",89968,3929,73048,6152,2229,0,0,2653838.25,2597230.77,56607.48,2871514.66,473010.05,131724.84,0,131724.84,NA,NA,NA,NA,NA,NA,"Autarquia"
2014,"Bacabal","MA",95576,7641,79612,7245,4220,345,26,6438393.03,6274761.97,163631.06,7611225.86,1565482.44,232098.46,0,232098.46,0,0,0,0,0,0,"Autarquia"
2009,"Bacabal","MA",92251,7542,76311,6897,3150,426,25,4529785,4406600,123185,4316621,1293650,196100,0,196100,NA,NA,NA,NA,NA,NA,"Autarquia"
2007,"Bacabal","MA",90484,6652,73704,6086,3250,320,18,3784943.95,3682296.33,102647.62,4040381.24,983636.17,203550.39,0,203550.39,NA,NA,NA,NA,NA,NA,"Autarquia"
2006,"Bacabal","MA",95434,5116,75343,5976,3437,340,19,3373680,3282657,91023,3534550,992085,59937,0,59937,NA,NA,NA,NA,NA,NA,"Autarquia"
1999,"Bacabal","MA",70015,4135,62077,5681,NA,NA,NA,1810704.01,1719487.7,91216.31,1810704.01,286740.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autarquia"
2008,"Bacabal","MA",91110,7272,75891,5135,3356,387,35,4444966,4315266,129700,4149175,1104646,244602,0,244602,NA,NA,NA,NA,NA,NA,"Autarquia"
2001,"Bacabal","MA",86731,3588,71987,5287,NA,NA,NA,1848696,1812779,35917,2453796,264001,190907,0,283560,NA,NA,NA,NA,NA,NA,"Autarquia"
2005,"Bacabal","MA",94878,4619,74743,5872,2983,0,72,3178360.94,3095813.5,82547.44,3371553.14,966694.78,186684.18,0,186684.18,NA,NA,NA,NA,NA,NA,"Autarquia"
1998,"Bacabal","MA",58026,4135,61392,5093,NA,0,NA,1810703.61,1769991.51,40712.1,1810704,255200,0,0,209864.9,NA,NA,NA,NA,NA,NA,"Autarquia"
2012,"Bacabal","MA",95576,7641,78779,6869,3634,333.02,25.01,5262264,5117636,144628,5478063,1850000,256222,0,256222,0,0,0,0,0,0,"Autarquia"
2013,"Bacabal","MA",95576,7641,79290,7245,4220,345,26,5679080.13,5538510.98,140569.15,5990805.54,1716322.07,394294.78,0,394294.78,0,0,0,0,0,0,"Autarquia"
2022,"Balsas","MA",87936,4000,NA,12960,6943.96,136.59,8.7,15802117.45,15429487.91,372629.54,16114084.38,5334625.93,1899200.66,0,1899200.66,0,0,0,0,0,0,"Autarquia"
2020,"Barreirinhas","MA",17571,4554,25380,2136.14,932.79,207.79,278.92,4415981.5,3298964.19,1117017.31,3932815.94,541305.22,14914.22,0,30274.41,0,0,0,0,0,0,""
2022,"Barreirinhas","MA",17617,4851,NA,2373.26,1090.99,236.01,217.15,4892420.17,3550285.29,1342134.88,4135773.01,643690.23,57166.08,765313.44,842796.23,0,0,0,0,0,0,""
2012,"Barreirinhas","MA",15904,657,23319,2869.8,704.44,130.21,28.54,1696748.94,1616233.61,80515.33,1672823.07,243193.74,0,0,0,0,0,0,0,0,0,""
2018,"Barreirinhas","MA",17465,4516,24822,2164.33,544.36,199.08,124.02,3620300.89,2753426.74,866874.15,3298523,471246.91,0,0,0,0,0,0,0,0,0,""
2016,"Barreirinhas","MA",15667,1670,24739,1994.51,721.45,115.95,65.67,3087075.05,2527392.44,559682.61,2671762.51,0,0,0,0,0,0,0,0,0,0,""
2015,"Barreirinhas","MA",15280,1547,24325,2382.63,664.68,31.48,41.47,2691195.99,2232510.44,458685.55,2552374.57,346225.66,0,0,0,0,0,0,0,0,0,""
2021,"Barreirinhas","MA",17995,4723,25651,2367.79,905.47,216.35,240,4501716.81,3344019.41,1157697.4,3671036.24,607067.97,18319.87,0,37573.66,NA,NA,NA,NA,NA,NA,""
2013,"Barreirinhas","MA",16167,1030,23526,2942.65,691.38,0,28.05,2270440.19,2028589.62,241850.57,2130244.48,317411.27,45164.7,0,45164.7,0,0,0,0,0,0,""
2019,"Barreirinhas","MA",17405,4550,25103,2124.36,717.4,619.49,184.33,4361184.34,3267155.71,1094028.63,3578522.57,466087.49,664708.2,0,664708.2,0,0,0,0,0,0,""
2014,"Barreirinhas","MA",16472,1403,23937,2157.3,653.54,38.51,42.68,2586186.81,2201542.35,384644.46,2475497.55,271500.79,0,0,169319.63,0,0,0,0,0,0,""
2017,"Barreirinhas","MA",17490,4426,25075,2237.8,718.47,191.23,122.16,3384732.89,2658035.21,726697.68,3081080.15,444207.16,188324.93,0,188324.93,0,0,0,0,0,0,""
2014,"Bequimão","MA",8000,1000,6766,821,NA,100,NA,1500,1000,500,1500,1e+05,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2017,"Boa Vista do Gurupi","MA",9320,9320,6588,900,90,0,0,0,0,0,0,90000,NA,NA,NA,60000,0,80000,0,0,0,"Administração pública direta"
2018,"Boa Vista do Gurupi","MA",9158,9158,6474,960,110,0,0,0,0,0,0,118000,NA,NA,NA,160000,0,190000,0,0,0,"Administração pública direta"
2020,"Buriticupu","MA",3429,34567,40038,860,2997,0,800,1281051.19,509015.19,772036,891009.15,2067947.48,31715.14,0,52363.1,313481,413481,1140343,113481,13481,354024,"Administração pública direta"
2016,"Buritirana","MA",14500,4500,4246,550,120,80,50,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA,"Administração pública direta"
2020,"Buritirana","MA",12520,100,4338,547,NA,0,NA,0,0,0,0,230000,NA,NA,NA,580000,0,739800,250000,NA,NA,"Administração pública direta"
2017,"Buritirana","MA",14500,4500,4257,550,120,80,50,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA,"Administração pública direta"
2022,"Buritirana","MA",5400,144,NA,295.65,NA,0,NA,0,0,0,0,425000,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2018,"Buritirana","MA",14500,4500,4317,550,NA,80,50,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA,"Administração pública direta"
2013,"Buritirana","MA",14770,200,4209,1440,2244,0,2,7000,7000,0,10000,35000,NA,NA,NA,5e+05,0,8e+05,NA,NA,NA,"Administração pública direta"
2014,"Buritirana","MA",14950,220,4222,1490,2300,0,2,9000,8000,1000,11100,36000,NA,NA,NA,505000,10000,828000,0,0,0,"Administração pública direta"
2014,"Cachoeira Grande","MA",6000,100,3934,4000,0,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2013,"Cachoeira Grande","MA",6000,100,3905,4000,0,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2016,"Cachoeira Grande","MA",6000,100,3986,4000,0,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2017,"Cachoeira Grande","MA",6500,100,4009,5000,NA,0,0,0,0,0,0,4280,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2019,"Cachoeira Grande","MA",6560,100,4234,6825,NA,0,NA,0,0,0,0,23040,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2015,"Cachoeira Grande","MA",6000,100,3961,4000,0,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2018,"Cachoeira Grande","MA",6500,100,4212,5820,NA,0,0,0,0,0,0,23040,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2006,"Carolina","MA",15882,750,14064,1475.5,607.4,NA,0,1146395.21,1146395.21,0,816065.01,177445.12,8022.74,0,8022.74,NA,NA,NA,NA,NA,NA,"Autarquia"
2005,"Carolina","MA",14862,750,14109,1461.2,576.8,NA,0,775931.14,775931.14,0,775931.14,146668.66,40164.97,0,40164.97,NA,NA,NA,NA,NA,NA,"Autarquia"
1999,"Carolina","MA",16950,750,13737,1119.33,NA,NA,NA,392182.6,392182.6,0,427242.04,49456.86,6652.14,0,6652.14,NA,NA,NA,NA,NA,NA,"Autarquia"
2003,"Carolina","MA",14862,750,14237,1351,89.8,0,0,583214.98,583214.98,0,583214.98,119931.39,6355,0,6355,NA,NA,NA,NA,NA,NA,"Autarquia"
2002,"Carolina","MA",14862,750,14277,1349.5,NA,0,NA,489620.24,489620.24,0,489620.24,86791.06,34145.65,0,34145.65,NA,NA,NA,NA,NA,NA,"Autarquia"
2000,"Carolina","MA",14349,750,14362,1247.19,NA,NA,NA,NA,478593.46,NA,478593.46,67713.12,10971.84,0,14126.84,NA,NA,NA,NA,NA,NA,"Autarquia"
2007,"Carolina","MA",16382,570,15132,1560.55,656.63,0,0,795829.35,795829.35,0,874845.65,170900.58,8892.32,0,8892.32,NA,NA,NA,NA,NA,NA,"Autarquia"
1998,"Carolina","MA",16215,750,13400,1315.71,NA,0,NA,427871.69,427871.69,0,428901.74,54851.36,18605.92,0,18605.92,NA,NA,NA,NA,NA,NA,"Autarquia"
2004,"Carolina","MA",14862,750,14155,1402.2,606.2,0,0,678929.65,678929.65,0,678929.65,134498.85,39127.01,0,39127.01,NA,NA,NA,NA,NA,NA,"Autarquia"
2012,"Caxias","MA",158059,1289,120773,12753.91,12999,42.26,20,10030489.33,10030489.33,0,10030489.33,2372756.7,788975.97,0,788975.97,0,0,0,0,0,0,"Autarquia"
2018,"Caxias","MA",125483,9100,125483,19696.18,7985,432,124.54,21399501.32,21298694.23,100807.09,21399701.32,4588944.33,508240.7,0,508240.7,0,0,0,0,0,0,"Autarquia"
2010,"Caxias","MA",155129,750,118534,19613,9037,19,0,8305730.55,8305730.55,0,8305730.55,2731512.67,573561.37,0,573561.37,0,0,0,0,0,0,"Autarquia"
2020,"Caxias","MA",132000,9100,126478,21600.2,8790,440.64,130.5,23187123.71,23052400.81,134722.9,23187123.71,5255321.98,228529.51,0,228529.51,0,0,0,0,0,0,"Autarquia"
2017,"Caxias","MA",124959,8936,124286,17676.07,7853,396.28,123.23,20399701.32,20298894.23,100807.09,20399701.32,4488944.33,408240.7,0,408240.7,0,0,0,0,0,0,"Autarquia"
2019,"Caxias","MA",128281,9100,125985,19851.5,8250,433,126.7,22433571.98,22304773.13,128798.85,22433571.98,5914174.34,130256.97,0,130256.97,0,0,0,0,0,0,"Autarquia"
2013,"Caxias","MA",159396,2456,121794,13302.58,7285.67,44.4,0,11119829.74,11119829.74,0,11119829.74,2120721.25,1098530.63,0,1098530.63,0,0,0,0,0,0,"Autarquia"
2015,"Caxias","MA",161137,9044,123125,15150.19,8112.96,162.71,5.36,15806862.25,15796404.58,10457.67,15806862.25,4515665.16,1170930.13,0,1170930.13,0,0,0,0,0,0,"Autarquia"
2021,"Caxias","MA",135000,9100,126962,21665,8980,442.12,135,23925214.33,23789477.87,135736.46,23925214.83,6227303.35,15551.1,0,15551.1,0,0,0,0,0,0,"Autarquia"
2022,"Caxias","MA",137000,12000,NA,21665,9130,562.97,181.31,28011421.03,27832846.4,178574.63,28011421.03,4334103.95,21986.4,0,21986.4,0,0,0,0,0,0,"Autarquia"
2016,"Caxias","MA",161926,9044,123728,15584.6,8654,162.71,5.85,18981721.91,18888868.02,92853.89,18981721.91,3930067.01,2384416.22,0,2384416.22,0,0,0,0,0,0,"Autarquia"
2011,"Caxias","MA",154472,750,119449,21447.07,9999,20,20,8525518.63,8525518.63,0,8525518.63,2309504.18,604250.33,0,604250.33,0,0,0,0,0,0,"Autarquia"
2009,"Caxias","MA",148072,526,112237,19599,NA,17,4,6644583,6644583,0,6644583,2777261,474547,NA,NA,NA,NA,NA,NA,NA,NA,"Autarquia"
2014,"Caxias","MA",160291,2456,122478,15146.86,8121.58,44.4,0,12606733.56,12606733.56,0,12606733.56,2463978.11,1084834.59,0,1084834.59,0,0,0,0,0,0,"Autarquia"
2015,"Cedral","MA",2434,2434,2434,250,200,0,25,220000,50000,40000,230000,41587.5,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2022,"Cidelândia","MA",5953,12857,NA,968.77,249.59,0,0,1244950.99,1139850.99,105100,745645.29,181286.84,23335.32,0,28234.21,0,0,0,0,0,0,"Administração pública direta"
2000,"Codó","MA",76000,14470,75093,8983.09,NA,NA,NA,1297855.14,1215435.84,82419.3,1297855.14,283556.19,14355.69,NA,NA,NA,NA,NA,NA,NA,NA,"Autarquia"
2020,"Codó","MA",108159,11365,84532,14009.52,3707.59,0,230,12259941.88,11576487.44,683454.44,12639363.13,2858860.04,0,0,540091.03,0,0,0,0,0,0,"Autarquia"
2014,"Codó","MA",92823,9930,82366,6835.11,7778,0,391,6736416.68,6205420.31,530996.37,7346813.54,1960000,85344.14,15400.11,785507.39,0,0,0,0,0,0,"Autarquia"
2016,"Codó","MA",96000,10640,82768,13192.63,3621.37,0,240,8794378.92,8236538.13,557840.79,9291503.49,1478660.03,0,0,218117.33,0,0,0,0,0,0,"Autarquia"
2018,"Codó","MA",104358,11220,84175,14653.62,3820,0,240,11103804.37,10472156.37,631648,11651725.01,2948248.86,0,0,1189509.73,0,0,0,0,0,0,"Autarquia"
2013,"Codó","MA",91017,9630,82146,6625.2,7574,0,385,5994757.58,5538907.56,455850.02,6824333.4,1776000,75433.46,14899.31,766796.25,0,0,0,0,0,0,"Autarquia"
2009,"Codó","MA",58902,12064,78527,8548,2668,0,483,3719995,3519601,200394,3749766,934915,68907,3924,72831,68907,3924,72831,0,0,0,"Autarquia"
2021,"Codó","MA",109164,11379,84705,14952,3427.86,0,726,12575429.06,11794303.75,781125.31,12967142.55,3796801.43,0,0,712775.21,0,0,0,0,0,0,"Autarquia"
2015,"Codó","MA",93346,9630,82574,6931.15,8002,0,407,7431193.97,6926162.99,505030.98,8052368.45,2760000,89413.31,17400.11,867831.94,0,NA,0,0,0,0,"Autarquia"
2017,"Codó","MA",104358,11220,82948,13755.06,3622.57,0,240,9893720.6,9279957.91,613762.69,10599040.2,2701477.51,0,0,579719.24,0,0,0,844000,0,844000,"Autarquia"
2022,"Codó","MA",109164,11379,NA,15100,4782.31,0,448.56,14811267.85,13879223.74,932044.11,15217025.55,4143886.49,0,0,700267.18,0,0,0,0,0,0,"Autarquia"
2004,"Codó","MA",78075,11300,76946,7215.85,1633.17,NA,2887,2230594.9,2046727.44,183867.46,2230594.9,658733.71,99181.94,0,111161.94,NA,NA,NA,NA,NA,NA,"Autarquia"
2006,"Codó","MA",92055,10520,77763,9175,2315.2,0,379.5,3430158,3209124,221034,3430158,1183642,41944,0,58032,NA,NA,NA,NA,NA,NA,"Autarquia"
2012,"Codó","MA",89820,9630,81760,5829.2,2409.9,0,374,448164.04,415887.73,32276.31,611736.1,112497.69,16666.66,7083.33,483776.14,0,0,0,0,0,0,"Autarquia"
2007,"Codó","MA",95737,10940,76209,9450,2430.96,0,398.47,3212277.31,2975592.08,236685.23,3570857.8,1266580.73,43496,2720,56898.15,NA,NA,NA,NA,NA,NA,"Autarquia"
2010,"Codó","MA",71028,12324,81045,9214,2810,0,491,3800672.98,3505882.19,294790.79,4266178.65,1466229.9,75029.43,0,75029.43,0,0,0,0,0,0,"Autarquia"
2005,"Codó","MA",75093,12245,77356,7415.9,2212.4,0,321.61,2822032.33,2627315,194717.33,2822032.33,958272.66,35016.85,2590,51557.75,NA,NA,NA,NA,NA,NA,"Autarquia"
2019,"Codó","MA",107595,11361,84355,14773.62,4172,0,240,11605835.32,10959992.8,645842.52,12093115.43,2863590.79,0,0,982777.2,0,0,0,0,0,0,"Autarquia"
2020,"Conceição do Lago-Açu","MA",4589,16400,7804,1100.56,491.86,1000,NA,1086588.01,86588.01,5e+05,1409714.41,297547.17,18148.41,0,30402.6,130000,170000,1001000,0,0,0,"Administração pública direta"
2022,"Coroatá","MA",47416,3778,NA,10496.9,3389.05,126.8,12.36,7888163.62,7888163.62,0,6107761.31,2634880.2,252844.89,0,305925.75,0,0,0,0,0,0,""
2018,"Coroatá","MA",52763,3778,45372,9748.38,2239.38,127.4,0,7399131.09,7378249.41,20881.68,5538427.59,1911770.16,0,0,0,0,0,0,0,0,0,""
2019,"Coroatá","MA",50328,3778,45548,9765.88,2852.46,166.52,33.22,8039241.62,8039241.62,0,5927978.21,2157353.48,636687.55,0,636687.55,0,0,0,0,0,0,""
2021,"Coroatá","MA",50688,3778,45891,10149.71,3100.82,125.84,12.03,8182545.5,8182404.12,141.38,6023672.62,2485821.16,129617.6,0,205263.67,NA,NA,NA,NA,NA,NA,""
2020,"Coroatá","MA",50454,3778,45721,10134.89,3208.91,0,NA,8056813.68,8056813.68,0,6970288.47,2236275.07,141421.49,0,214297.7,0,0,0,0,0,0,""
2015,"Davinópolis","MA",10930,500,10549,1262.4,568.81,0,27,972860.28,962860.28,10000,776376.72,251600.08,48800,0,219594.8,380000,12000,474000,0,0,0,"Administração pública direta"
2022,"Estreito","MA",33245,1000,NA,2000,1100,0,0,5800000,5800000,0,5800000,1500000,NA,NA,NA,0,0,0,250000,NA,NA,"Administração pública direta"
2018,"Estreito","MA",41300,4000,29749,1148.74,1080,70,1,2500000,2500000,0,3700000,8e+05,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2019,"Estreito","MA",41300,4000,30174,1148.74,1080,70,1,2500000,2500000,0,3700000,8e+05,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2020,"Estreito","MA",41300,4000,30592,1148.74,1080,70,1,2800000,2800000,0,3900000,1350000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2017,"Estreito","MA",41497,4000,30292,1148.74,1080,70,1,2350350,2350350,0,3353850,8e+05,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2020,"Feira Nova do Maranhão","MA",4257,459,2012,184,780,0,0.54,0,0,0,0,76608,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2016,"Formosa da Serra Negra","MA",12560,2000,6260,260,12,0,NA,80000,80000,0,80000,26000,NA,NA,NA,6e+05,2e+05,870000,NA,NA,NA,"Administração pública direta"
2021,"Fortaleza dos Nogueiras","MA",1520,7128,7631,203.45,158.99,0,350,574030.42,208920.42,350000,532288.84,81039.6,1574.12,0,3050.81,0,0,0,NA,NA,NA,"Administração pública direta"
2018,"Humberto de Campos","MA",3092,75,11432,370.41,182.88,13,0,0,0,0,0,135942.05,0,0,0,0,0,0,0,0,0,"Administração pública direta"
2022,"Igarapé Grande","MA",3388,3600,NA,429.78,288.56,0,NA,407854.04,341854.04,66000,388792.1,189681.31,10352.36,0,12525.68,15000,15000,62000,0,0,0,"Administração pública direta"
2021,"Igarapé Grande","MA",3873,3600,6913,411.87,307.78,0,NA,416148.81,416148.81,0,405723.05,202028.31,3186.69,0,6176.15,40000,40000,160000,0,0,0,"Administração pública direta"
2020,"Igarapé Grande","MA",3858,3000,6873,370.27,322.94,0,NA,412917.8,412917.8,0,419960.72,185780.22,21732.9,0,24395.37,0,0,0,0,0,0,"Administração pública direta"
2022,"Imperatriz","MA",228975,78327,NA,43335.5,20443.28,4860.53,366.46,70970849.33,49882920.36,21087928.97,45293433.6,8334399.83,3160251.24,0,3379390.76,0,0,0,0,0,0,""
2005,"Imperatriz","MA",252814,75254,220276,28291.4,12979.84,2173.08,22.05,12693767.57,8647726.05,4046041.51,13394558.44,1692410.57,78319.56,62898.9,162468.16,NA,NA,NA,NA,NA,NA,""
2004,"Imperatriz","MA",245255,75254,219986,41334,10027,2069.6,56.4,14615953.18,10009753.15,4606200.03,12185942.72,1318107.13,202937.36,0,202937.36,NA,NA,NA,NA,NA,NA,""
2017,"Imperatriz","MA",241240,84447,241241,37350.52,15500.95,4364.55,94.22,56296584.24,40305388.28,15991195.96,39621266.84,6634372.45,0,0,0,0,0,0,0,0,0,""
2010,"Imperatriz","MA",196648,62149,234547,33636.32,14022.52,5188.08,3003,27249527.6,21156064.58,6093463.02,18477227.78,250425.19,136109.02,0,136109.02,NA,NA,NA,NA,NA,NA,""
2009,"Imperatriz","MA",227489,62240,223831,22646.99,3980.77,3264,50,14635293.76,9412749.56,5222544.2,18518060.04,1438024.44,202126.78,0,202126.78,NA,NA,NA,NA,NA,NA,""
2011,"Imperatriz","MA",198793,62282,235780,31400.36,14893.05,5190.36,51.67,21022883.09,14735092.56,6287790.53,19994285.52,144108.38,1234.11,0,1234.11,0,0,0,0,0,0,""
2014,"Imperatriz","MA",216010,63450,239110,34437.51,14296.9,9538.56,57.52,38109647.2,26795502.24,11314144.96,32253662.18,4527177.91,0,0,199758.29,0,0,0,0,0,0,""
2012,"Imperatriz","MA",207714,58194,236971,35778.87,15631.02,9822.22,47.97,21276053.67,21276053.67,0,25219892.63,4507368.3,28912.76,0,29230.25,0,0,0,0,0,0,""
2002,"Imperatriz","MA",191016,66001,219212,40836.4,NA,4410.2,NA,11559922,8788050,2771872,10881925,1998410,185000,0,185000,NA,NA,NA,NA,NA,NA,""
2008,"Imperatriz","MA",195523,79598,223471,22941.47,13309.11,4000,49,18158578.16,12713409.54,5445168.62,15628213.87,4555804.52,1226457.24,0,1838319.89,NA,NA,NA,NA,NA,NA,""
2013,"Imperatriz","MA",219489,63015,238303,35065.05,13266.75,8932.21,65.42,36301596.27,25592012.16,10709584.11,29454435.77,3739308.57,533441.49,0,533441.49,0,0,0,0,0,0,""
2003,"Imperatriz","MA",196295,67887,219461,24622,11944,4640,223,11909036,8030158,3878878,10622296,3005987,7429433,512226,8524289,NA,NA,NA,NA,NA,NA,""
2006,"Imperatriz","MA",234756,75254,220564,24433.51,12363.4,2200,19,15849402.69,9544559.05,6304843.63,14175808.89,2431941,105189.82,8694.18,300028.86,NA,NA,NA,NA,NA,NA,""
2020,"Imperatriz","MA",226497,78636,245760,41012.82,19527.18,4244.61,107.41,68470772.76,47701697.15,20769075.61,53751685.86,6383129.54,600266.24,0,895174.13,0,0,0,0,0,0,""
2021,"Imperatriz","MA",227736,78447,246369,41789.01,18415.38,4142.59,204.95,70637266.52,49566677.83,21070588.69,47421034.38,7701680.4,2487172.49,0,2790636.86,NA,NA,NA,NA,NA,NA,""
2015,"Imperatriz","MA",246335,64081,239871,36464.23,16097.71,9538.56,36.14,40712501.69,28974587.53,11737914.16,31102982.19,5195371.66,0,0,764.5,0,0,0,0,0,0,""
2000,"Imperatriz","MA",204905,51446,218673,25388,NA,NA,NA,NA,9089904,2937265,7816540,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2018,"Imperatriz","MA",244508,85808,244508,37533.03,12038.66,4335.84,115.59,57734555.42,40136058.82,17598496.6,42178704.18,8051138.17,1950,0,1950,0,0,0,0,0,0,""
2016,"Imperatriz","MA",240532,66092,240582,41873.38,16316.9,9114,200.73,51871641.96,37528575.29,14343066.67,36547228.07,5195371.66,0,0,764.5,0,0,0,0,0,0,""
1999,"Imperatriz","MA",216110,49990,176321,26990.59,NA,2010,NA,NA,8838132,NA,7512412,8120,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2001,"Imperatriz","MA",209451,56097,218865,32123,NA,4187,NA,13569200,10030844,3538356,11126776,1927380,242887,0,242887,NA,NA,NA,NA,NA,NA,""
2019,"Imperatriz","MA",219162,75633,245139,39114.79,16798.3,4566.37,123.45,69269326.5,48001372.46,21267954.04,49084272.01,6145485.98,2517124.7,0,2517124.7,0,0,0,0,0,0,""
2021,"Itapecuru Mirim","MA",39526,3120,38644,4262.02,3121.69,99.75,30.39,7720842.84,7418769.46,302073.38,6447145.58,1307724.46,365635.85,406074.73,802794.12,NA,NA,NA,NA,NA,NA,""
2020,"Itapecuru Mirim","MA",39160,3120,38359,3682.83,3186.03,88.31,17.66,7095907.66,6812543.48,283364.18,7111284.1,1164017.59,26712.99,3048303.43,3101498.28,0,0,0,0,0,0,""
2022,"Itapecuru Mirim","MA",42062,6380,NA,4247.81,2485.99,161.01,26.83,7937792.71,7445216.78,492575.93,6893680.84,1369660,327935.92,164052.93,537752.57,0,0,0,0,0,0,""
2019,"Itapecuru Mirim","MA",38930,3120,38069,4185.85,1395.26,0,1.45,7239423.31,6988824.37,250598.94,5984758.22,1221623.28,1644768.97,0,1644768.97,0,0,0,0,0,0,""
2011,"Jatobá","MA",2699,4230,3857,535.39,221.61,142,20,147740.59,135740.59,12000,145031.58,81997.53,0,0,0,32000,12000,76000,0,0,0,"Administração pública direta"
2018,"Lajeado Novo","MA",2000,900,3458,100,15,130,15,90000,30000,15000,60000,35000,NA,NA,NA,30000,30000,120000,0,0,0,"Administração pública direta"
